Level	start_stop	Date	Time	DateTime	Day	Sunrise_dt	Sunset_dt
8.36	wait	2016-08-15	00:00:00	2016-08-15 00:00:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
8.45	wait	2016-08-15	00:06:00	2016-08-15 00:06:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
8.55	wait	2016-08-15	00:12:00	2016-08-15 00:12:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
8.64	wait	2016-08-15	00:18:00	2016-08-15 00:18:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
8.74	wait	2016-08-15	00:24:00	2016-08-15 00:24:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
8.84	wait	2016-08-15	00:30:00	2016-08-15 00:30:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
8.94	wait	2016-08-15	00:36:00	2016-08-15 00:36:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
9.03	wait	2016-08-15	00:42:00	2016-08-15 00:42:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
9.13	wait	2016-08-15	00:48:00	2016-08-15 00:48:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
9.22	wait	2016-08-15	00:54:00	2016-08-15 00:54:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
9.32	wait	2016-08-15	01:00:00	2016-08-15 01:00:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
9.41	wait	2016-08-15	01:06:00	2016-08-15 01:06:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
9.49	wait	2016-08-15	01:12:00	2016-08-15 01:12:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
9.58	wait	2016-08-15	01:18:00	2016-08-15 01:18:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
9.66	wait	2016-08-15	01:24:00	2016-08-15 01:24:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
9.73	wait	2016-08-15	01:30:00	2016-08-15 01:30:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
9.8	wait	2016-08-15	01:36:00	2016-08-15 01:36:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
9.87	wait	2016-08-15	01:42:00	2016-08-15 01:42:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
9.93	wait	2016-08-15	01:48:00	2016-08-15 01:48:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
9.98	wait	2016-08-15	01:54:00	2016-08-15 01:54:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
10.03	wait	2016-08-15	02:00:00	2016-08-15 02:00:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
10.07	wait	2016-08-15	02:06:00	2016-08-15 02:06:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
10.1	wait	2016-08-15	02:12:00	2016-08-15 02:12:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
10.12	wait	2016-08-15	02:18:00	2016-08-15 02:18:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
10.14	wait	2016-08-15	02:24:00	2016-08-15 02:24:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
10.15	wait	2016-08-15	02:30:00	2016-08-15 02:30:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
10.15	wait	2016-08-15	02:36:00	2016-08-15 02:36:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
10.14	wait	2016-08-15	02:42:00	2016-08-15 02:42:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
10.12	wait	2016-08-15	02:48:00	2016-08-15 02:48:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
10.1	wait	2016-08-15	02:54:00	2016-08-15 02:54:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
10.07	wait	2016-08-15	03:00:00	2016-08-15 03:00:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
10.02	wait	2016-08-15	03:06:00	2016-08-15 03:06:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
9.97	wait	2016-08-15	03:12:00	2016-08-15 03:12:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
9.92	wait	2016-08-15	03:18:00	2016-08-15 03:18:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
9.85	wait	2016-08-15	03:24:00	2016-08-15 03:24:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
9.77	wait	2016-08-15	03:30:00	2016-08-15 03:30:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
9.69	wait	2016-08-15	03:36:00	2016-08-15 03:36:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
9.59	wait	2016-08-15	03:42:00	2016-08-15 03:42:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
9.49	wait	2016-08-15	03:48:00	2016-08-15 03:48:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
9.38	wait	2016-08-15	03:54:00	2016-08-15 03:54:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
9.27	wait	2016-08-15	04:00:00	2016-08-15 04:00:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
9.14	wait	2016-08-15	04:06:00	2016-08-15 04:06:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
9.01	wait	2016-08-15	04:12:00	2016-08-15 04:12:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
8.87	wait	2016-08-15	04:18:00	2016-08-15 04:18:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
8.73	wait	2016-08-15	04:24:00	2016-08-15 04:24:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
8.57	wait	2016-08-15	04:30:00	2016-08-15 04:30:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
8.41	wait	2016-08-15	04:36:00	2016-08-15 04:36:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
8.25	wait	2016-08-15	04:42:00	2016-08-15 04:42:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
8.07	wait	2016-08-15	04:48:00	2016-08-15 04:48:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
7.89	wait	2016-08-15	04:54:00	2016-08-15 04:54:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
7.71	wait	2016-08-15	05:00:00	2016-08-15 05:00:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
7.52	wait	2016-08-15	05:06:00	2016-08-15 05:06:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
7.32	wait	2016-08-15	05:12:00	2016-08-15 05:12:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
7.12	wait	2016-08-15	05:18:00	2016-08-15 05:18:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
6.91	wait	2016-08-15	05:24:00	2016-08-15 05:24:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
6.7	wait	2016-08-15	05:30:00	2016-08-15 05:30:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
6.48	wait	2016-08-15	05:36:00	2016-08-15 05:36:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
6.26	wait	2016-08-15	05:42:00	2016-08-15 05:42:00	228	2016-08-15 06:05:33	2016-08-15 20:21:09
