Level	start_stop	Date	Time	DateTime	Day
9.8	wait	2015-08-23	00:00:00	2015-08-23 00:00:00	235
9.71	wait	2015-08-23	00:06:00	2015-08-23 00:06:00	235
9.6	wait	2015-08-23	00:12:00	2015-08-23 00:12:00	235
9.5	wait	2015-08-23	00:18:00	2015-08-23 00:18:00	235
9.38	wait	2015-08-23	00:24:00	2015-08-23 00:24:00	235
9.26	wait	2015-08-23	00:30:00	2015-08-23 00:30:00	235
9.13	wait	2015-08-23	00:36:00	2015-08-23 00:36:00	235
9.0	wait	2015-08-23	00:42:00	2015-08-23 00:42:00	235
8.86	wait	2015-08-23	00:48:00	2015-08-23 00:48:00	235
8.72	wait	2015-08-23	00:54:00	2015-08-23 00:54:00	235
8.57	wait	2015-08-23	01:00:00	2015-08-23 01:00:00	235
8.41	wait	2015-08-23	01:06:00	2015-08-23 01:06:00	235
8.25	wait	2015-08-23	01:12:00	2015-08-23 01:12:00	235
8.09	wait	2015-08-23	01:18:00	2015-08-23 01:18:00	235
7.92	wait	2015-08-23	01:24:00	2015-08-23 01:24:00	235
7.75	wait	2015-08-23	01:30:00	2015-08-23 01:30:00	235
7.57	wait	2015-08-23	01:36:00	2015-08-23 01:36:00	235
7.4	wait	2015-08-23	01:42:00	2015-08-23 01:42:00	235
7.21	wait	2015-08-23	01:48:00	2015-08-23 01:48:00	235
7.03	wait	2015-08-23	01:54:00	2015-08-23 01:54:00	235
6.84	wait	2015-08-23	02:00:00	2015-08-23 02:00:00	235
6.65	wait	2015-08-23	02:06:00	2015-08-23 02:06:00	235
6.46	wait	2015-08-23	02:12:00	2015-08-23 02:12:00	235
6.27	wait	2015-08-23	02:18:00	2015-08-23 02:18:00	235
6.08	wait	2015-08-23	02:24:00	2015-08-23 02:24:00	235
5.88	wait	2015-08-23	02:30:00	2015-08-23 02:30:00	235
5.69	wait	2015-08-23	02:36:00	2015-08-23 02:36:00	235
5.49	wait	2015-08-23	02:42:00	2015-08-23 02:42:00	235
5.3	wait	2015-08-23	02:48:00	2015-08-23 02:48:00	235
5.1	wait	2015-08-23	02:54:00	2015-08-23 02:54:00	235
4.91	wait	2015-08-23	03:00:00	2015-08-23 03:00:00	235
4.71	wait	2015-08-23	03:06:00	2015-08-23 03:06:00	235
4.52	wait	2015-08-23	03:12:00	2015-08-23 03:12:00	235
4.33	wait	2015-08-23	03:18:00	2015-08-23 03:18:00	235
4.14	wait	2015-08-23	03:24:00	2015-08-23 03:24:00	235
3.96	wait	2015-08-23	03:30:00	2015-08-23 03:30:00	235
3.78	wait	2015-08-23	03:36:00	2015-08-23 03:36:00	235
3.6	wait	2015-08-23	03:42:00	2015-08-23 03:42:00	235
3.43	wait	2015-08-23	03:48:00	2015-08-23 03:48:00	235
3.26	wait	2015-08-23	03:54:00	2015-08-23 03:54:00	235
3.1	wait	2015-08-23	04:00:00	2015-08-23 04:00:00	235
2.94	wait	2015-08-23	04:06:00	2015-08-23 04:06:00	235
2.79	wait	2015-08-23	04:12:00	2015-08-23 04:12:00	235
2.64	wait	2015-08-23	04:18:00	2015-08-23 04:18:00	235
2.5	wait	2015-08-23	04:24:00	2015-08-23 04:24:00	235
2.37	wait	2015-08-23	04:30:00	2015-08-23 04:30:00	235
2.25	wait	2015-08-23	04:36:00	2015-08-23 04:36:00	235
