Level	start_stop	Date	Time	DateTime	Day	Sunrise_dt	Sunset_dt
9.8	wait	2015-08-23	00:00:00	2015-08-23 00:00:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
9.71	wait	2015-08-23	00:06:00	2015-08-23 00:06:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
9.6	wait	2015-08-23	00:12:00	2015-08-23 00:12:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
9.5	wait	2015-08-23	00:18:00	2015-08-23 00:18:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
9.38	wait	2015-08-23	00:24:00	2015-08-23 00:24:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
9.26	wait	2015-08-23	00:30:00	2015-08-23 00:30:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
9.13	wait	2015-08-23	00:36:00	2015-08-23 00:36:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
9.0	wait	2015-08-23	00:42:00	2015-08-23 00:42:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
8.86	wait	2015-08-23	00:48:00	2015-08-23 00:48:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
8.72	wait	2015-08-23	00:54:00	2015-08-23 00:54:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
8.57	wait	2015-08-23	01:00:00	2015-08-23 01:00:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
8.41	wait	2015-08-23	01:06:00	2015-08-23 01:06:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
8.25	wait	2015-08-23	01:12:00	2015-08-23 01:12:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
8.09	wait	2015-08-23	01:18:00	2015-08-23 01:18:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
7.92	wait	2015-08-23	01:24:00	2015-08-23 01:24:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
7.75	wait	2015-08-23	01:30:00	2015-08-23 01:30:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
7.57	wait	2015-08-23	01:36:00	2015-08-23 01:36:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
7.4	wait	2015-08-23	01:42:00	2015-08-23 01:42:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
7.21	wait	2015-08-23	01:48:00	2015-08-23 01:48:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
7.03	wait	2015-08-23	01:54:00	2015-08-23 01:54:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
6.84	wait	2015-08-23	02:00:00	2015-08-23 02:00:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
6.65	wait	2015-08-23	02:06:00	2015-08-23 02:06:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
6.46	wait	2015-08-23	02:12:00	2015-08-23 02:12:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
6.27	wait	2015-08-23	02:18:00	2015-08-23 02:18:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
6.08	wait	2015-08-23	02:24:00	2015-08-23 02:24:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
5.88	wait	2015-08-23	02:30:00	2015-08-23 02:30:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
5.69	wait	2015-08-23	02:36:00	2015-08-23 02:36:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
5.49	wait	2015-08-23	02:42:00	2015-08-23 02:42:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
5.3	wait	2015-08-23	02:48:00	2015-08-23 02:48:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
5.1	wait	2015-08-23	02:54:00	2015-08-23 02:54:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
4.91	wait	2015-08-23	03:00:00	2015-08-23 03:00:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
4.71	wait	2015-08-23	03:06:00	2015-08-23 03:06:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
4.52	wait	2015-08-23	03:12:00	2015-08-23 03:12:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
4.33	wait	2015-08-23	03:18:00	2015-08-23 03:18:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
4.14	wait	2015-08-23	03:24:00	2015-08-23 03:24:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
3.96	wait	2015-08-23	03:30:00	2015-08-23 03:30:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
3.78	wait	2015-08-23	03:36:00	2015-08-23 03:36:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
3.6	wait	2015-08-23	03:42:00	2015-08-23 03:42:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
3.43	wait	2015-08-23	03:48:00	2015-08-23 03:48:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
3.26	wait	2015-08-23	03:54:00	2015-08-23 03:54:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
3.1	wait	2015-08-23	04:00:00	2015-08-23 04:00:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
2.94	wait	2015-08-23	04:06:00	2015-08-23 04:06:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
2.79	wait	2015-08-23	04:12:00	2015-08-23 04:12:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
2.64	wait	2015-08-23	04:18:00	2015-08-23 04:18:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
2.5	wait	2015-08-23	04:24:00	2015-08-23 04:24:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
2.37	wait	2015-08-23	04:30:00	2015-08-23 04:30:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
2.25	wait	2015-08-23	04:36:00	2015-08-23 04:36:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
2.14	wait	2015-08-23	04:42:00	2015-08-23 04:42:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
2.03	wait	2015-08-23	04:48:00	2015-08-23 04:48:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
1.94	wait	2015-08-23	04:54:00	2015-08-23 04:54:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
1.85	wait	2015-08-23	05:00:00	2015-08-23 05:00:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
1.77	wait	2015-08-23	05:06:00	2015-08-23 05:06:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
1.7	wait	2015-08-23	05:12:00	2015-08-23 05:12:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
1.65	wait	2015-08-23	05:18:00	2015-08-23 05:18:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
1.6	wait	2015-08-23	05:24:00	2015-08-23 05:24:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
1.56	wait	2015-08-23	05:30:00	2015-08-23 05:30:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
1.54	wait	2015-08-23	05:36:00	2015-08-23 05:36:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
1.52	earliest_start	2015-08-23	05:42:00	2015-08-23 05:42:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
1.51	latest_start	2015-08-23	05:48:00	2015-08-23 05:48:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
1.52	wait	2015-08-23	05:54:00	2015-08-23 05:54:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
1.53	wait	2015-08-23	06:00:00	2015-08-23 06:00:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
1.55	wait	2015-08-23	06:06:00	2015-08-23 06:06:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
1.59	wait	2015-08-23	06:12:00	2015-08-23 06:12:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
1.63	wait	2015-08-23	06:18:00	2015-08-23 06:18:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
1.68	wait	2015-08-23	06:24:00	2015-08-23 06:24:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
1.74	wait	2015-08-23	06:30:00	2015-08-23 06:30:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
1.81	wait	2015-08-23	06:36:00	2015-08-23 06:36:00	235	2015-08-23 06:15:19	2015-08-23 20:08:00
