Level	start_stop	Month	Week	Day	Date	Time
1.52	start	8	34	235	2015-08-23	05:42:00
1.51	stop	8	34	235	2015-08-23	05:48:00
1.64	start	8	35	236	2015-08-24	05:42:00
1.09	stop	8	35	236	2015-08-24	07:12:00
2.46	start	8	35	237	2015-08-25	05:48:00
0.73	stop	8	35	237	2015-08-25	08:36:00
4.14	start	8	35	238	2015-08-26	05:48:00
0.3	stop	8	35	238	2015-08-26	09:42:00
4.72	start	8	35	239	2015-08-27	06:24:00
-0.12	stop	8	35	239	2015-08-27	10:36:00
5.14	start	8	35	240	2015-08-28	07:06:00
-0.36	stop	8	35	240	2015-08-28	11:24:00
5.07	start	8	35	241	2015-08-29	08:00:00
-0.39	stop	8	35	241	2015-08-29	12:06:00
5.11	start	8	35	242	2015-08-30	08:54:00
-0.2	stop	8	35	242	2015-08-30	12:42:00
4.72	start	8	36	243	2015-08-31	10:00:00
0.18	stop	8	36	243	2015-08-31	13:06:00
4.14	start	9	36	244	2015-09-01	11:18:00
1.12	stop	9	36	244	2015-09-01	13:24:00
0.48	start	9	36	249	2015-09-06	06:00:00
0.74	stop	9	36	249	2015-09-06	06:36:00
1.15	start	9	37	250	2015-09-07	06:00:00
0.83	stop	9	37	250	2015-09-07	07:42:00
2.67	start	9	37	251	2015-09-08	06:06:00
0.81	stop	9	37	251	2015-09-08	08:42:00
4.13	start	9	37	252	2015-09-09	06:24:00
0.8	stop	9	37	252	2015-09-09	09:36:00
4.13	start	9	37	253	2015-09-10	07:18:00
0.84	stop	9	37	253	2015-09-10	10:18:00
4.18	start	9	37	254	2015-09-11	08:06:00
0.98	stop	9	37	254	2015-09-11	10:48:00
3.91	start	9	37	255	2015-09-12	09:00:00
1.28	stop	9	37	255	2015-09-12	11:12:00
3.49	start	9	37	256	2015-09-13	10:00:00
1.86	stop	9	37	256	2015-09-13	11:18:00
1.05	start	9	39	266	2015-09-23	06:24:00
0.9	stop	9	39	266	2015-09-23	07:36:00
2.22	start	9	39	267	2015-09-24	06:24:00
0.7	stop	9	39	267	2015-09-24	08:42:00
4.34	start	9	39	268	2015-09-25	06:24:00
0.51	stop	9	39	268	2015-09-25	09:36:00
4.61	start	9	39	269	2015-09-26	07:18:00
0.52	stop	9	39	269	2015-09-26	10:24:00
4.37	start	9	39	270	2015-09-27	08:24:00
0.74	stop	9	39	270	2015-09-27	11:00:00
4.23	start	9	40	271	2015-09-28	09:30:00
1.33	stop	9	40	271	2015-09-28	11:24:00
2.16	start	10	41	280	2015-10-07	06:42:00
1.98	stop	10	41	280	2015-10-07	07:00:00
1.83	start	10	43	296	2015-10-23	07:06:00
1.79	stop	10	43	296	2015-10-23	07:12:00
3.25	start	2	6	44	2016-02-13	13:24:00
2.25	stop	2	6	44	2016-02-13	14:06:00
4.05	start	2	6	45	2016-02-14	13:42:00
1.38	stop	2	6	45	2016-02-14	15:48:00
4.08	start	2	7	46	2016-02-15	14:30:00
1.03	stop	2	7	46	2016-02-15	16:30:00
4.31	start	2	7	47	2016-02-16	15:18:00
1.78	stop	2	7	47	2016-02-16	16:30:00
4.39	start	2	7	48	2016-02-17	16:12:00
3.65	stop	2	7	48	2016-02-17	16:30:00
2.78	start	3	9	61	2016-03-01	15:06:00
2.28	stop	3	9	61	2016-03-01	15:36:00
3.31	start	3	9	62	2016-03-02	15:30:00
1.8	stop	3	9	62	2016-03-02	16:54:00
3.68	start	3	9	63	2016-03-03	16:06:00
2.35	stop	3	9	63	2016-03-03	16:54:00
4.11	start	3	9	64	2016-03-04	16:42:00
3.48	stop	3	9	64	2016-03-04	17:00:00
3.61	start	3	10	70	2016-03-10	10:18:00
2.14	stop	3	10	70	2016-03-10	11:12:00
4.48	start	3	10	71	2016-03-11	10:24:00
0.92	stop	3	10	71	2016-03-11	12:42:00
4.76	start	3	10	72	2016-03-12	10:54:00
0.5	stop	3	10	72	2016-03-12	13:54:00
4.76	start	3	10	73	2016-03-13	12:36:00
0.34	stop	3	10	73	2016-03-13	15:54:00
4.54	start	3	11	74	2016-03-14	13:30:00
0.43	stop	3	11	74	2016-03-14	16:54:00
4.44	start	3	11	75	2016-03-15	14:30:00
0.64	stop	3	11	75	2016-03-15	17:54:00
4.2	start	3	11	76	2016-03-16	15:42:00
0.69	stop	3	11	76	2016-03-16	18:12:00
3.93	start	3	11	77	2016-03-17	17:00:00
1.64	stop	3	11	77	2016-03-17	18:18:00
3.99	start	3	11	78	2016-03-18	18:06:00
3.57	stop	3	11	78	2016-03-18	18:18:00
3.66	start	3	12	85	2016-03-25	11:18:00
1.61	stop	3	12	85	2016-03-25	12:54:00
4.02	start	3	12	86	2016-03-26	11:30:00
1.18	stop	3	12	86	2016-03-26	13:48:00
4.16	start	3	12	87	2016-03-27	11:54:00
0.95	stop	3	12	87	2016-03-27	14:30:00
4.06	start	3	13	88	2016-03-28	12:30:00
0.92	stop	3	13	88	2016-03-28	15:18:00
3.99	start	3	13	89	2016-03-29	13:12:00
0.96	stop	3	13	89	2016-03-29	16:00:00
3.81	start	3	13	90	2016-03-30	14:06:00
1.08	stop	3	13	90	2016-03-30	16:48:00
3.58	start	3	13	91	2016-03-31	15:12:00
1.22	stop	3	13	91	2016-03-31	17:48:00
3.54	start	4	13	92	2016-04-01	16:18:00
1.19	stop	4	13	92	2016-04-01	18:36:00
3.7	start	4	13	93	2016-04-02	17:18:00
1.57	stop	4	13	93	2016-04-02	18:42:00
4.01	start	4	13	94	2016-04-03	18:12:00
